number,name,office,position,uuid,Декларант/активи у дорогоцінних (банківських) металах/UAH,Декларант/активи у дорогоцінних (банківських) металах/USD,Декларант/внески до кредитних спілок та інших небанківських фінансових установ/UAH,Декларант/внески до кредитних спілок та інших небанківських фінансових установ/USD,Декларант/готівкові кошти/BGN,Декларант/готівкові кошти/CAD,Декларант/готівкові кошти/CHF,Декларант/готівкові кошти/CNY,Декларант/готівкові кошти/EUR,Декларант/готівкові кошти/GBP,Декларант/готівкові кошти/GEL,Декларант/готівкові кошти/HKD,Декларант/готівкові кошти/HUF,Декларант/готівкові кошти/JPY,Декларант/готівкові кошти/NOK,Декларант/готівкові кошти/PLN,Декларант/готівкові кошти/QAR,Декларант/готівкові кошти/RUB,Декларант/готівкові кошти/SAR,Декларант/готівкові кошти/UAH,Декларант/готівкові кошти/USD,"Декларант/кошти, позичені третім особам/EUR","Декларант/кошти, позичені третім особам/GBP","Декларант/кошти, позичені третім особам/UAH","Декларант/кошти, позичені третім особам/USD","Декларант/кошти, розміщені на банківських рахунках/CAD","Декларант/кошти, розміщені на банківських рахунках/CHF","Декларант/кошти, розміщені на банківських рахунках/DKK","Декларант/кошти, розміщені на банківських рахунках/EUR","Декларант/кошти, розміщені на банківських рахунках/GBP","Декларант/кошти, розміщені на банківських рахунках/GEL","Декларант/кошти, розміщені на банківських рахунках/RUB","Декларант/кошти, розміщені на банківських рахунках/UAH","Декларант/кошти, розміщені на банківських рахунках/USD",Декларант/інше/EUR,Декларант/інше/RUB,Декларант/інше/UAH,Декларант/інше/USD,Родина/активи у дорогоцінних (банківських) металах/UAH,Родина/активи у дорогоцінних (банківських) металах/USD,Родина/внески до кредитних спілок та інших небанківських фінансових установ/EUR,Родина/внески до кредитних спілок та інших небанківських фінансових установ/UAH,Родина/внески до кредитних спілок та інших небанківських фінансових установ/USD,Родина/готівкові кошти/CAD,Родина/готівкові кошти/CHF,Родина/готівкові кошти/EUR,Родина/готівкові кошти/GBP,Родина/готівкові кошти/HUF,Родина/готівкові кошти/NOK,Родина/готівкові кошти/PLN,Родина/готівкові кошти/RUB,Родина/готівкові кошти/UAH,Родина/готівкові кошти/USD,"Родина/кошти, позичені третім особам/EUR","Родина/кошти, позичені третім особам/UAH","Родина/кошти, позичені третім особам/USD","Родина/кошти, розміщені на банківських рахунках/CAD","Родина/кошти, розміщені на банківських рахунках/CHF","Родина/кошти, розміщені на банківських рахунках/EUR","Родина/кошти, розміщені на банківських рахунках/GBP","Родина/кошти, розміщені на банківських рахунках/RUB","Родина/кошти, розміщені на банківських рахунках/SEK","Родина/кошти, розміщені на банківських рахунках/UAH","Родина/кошти, розміщені на банківських рахунках/USD",Родина/інше/EUR,Родина/інше/RUB,Родина/інше/UAH,Родина/інше/USD
89335,Мальцев Сергій Олексійович, Котелевський районний суд Полтавської області,суддя,aa24f6f2-652c-404b-a687-11c1c352eef8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101717,Святська Олена Володимирівна, Кременчуцький районний суд Полтавської області ,суддя,83e1b3a6-5059-443e-b431-11ebd561fef8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83394,Рунчева Олена Вікторівна, Нікопольський міськрайонний суд Дніпропетровської області,Суддя,91f971f8-05a5-41d9-949a-c218e7bb6b2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91517,Жупанова Олена Олександрівна, Первомайський міськрайонний суд Харківської області,суддя,3483bd29-73c1-42b8-aac4-5aa894389e70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95427,,,,16481,,,,,,,,,,,,,,,0,,,,,,,,,,,91,,,,,
22479,Кізюн Людмила Іванівна, Солом'янський районний суд міста Києва ,Суддя,0ab11642-aec8-4362-a1a5-43c22d81ff3b,,,,,,,,,,,,,,,,,,,,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86897,Білецька Алла Миколаївна, Харківський апеляційний господарський суд,суддя,b1222c2b-89fc-497d-b4aa-ca9732c3787a,,,,,,,,,,,,,,,,,,,,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77247,Моцний Валерій Степанович, Чечельницький районний суд Вінницької області,суддя,0f8107b8-d57f-49ba-a327-ef9d6c05366c,,,,,,,,,,,,,,,,,,,,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,
98407,Чаус Людмила Володимирівна,"""Очаківський міськрайонний суд"" Миколаївської області",Суддя,45582968-7ea2-42d5-a3c1-177d49b25fca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79176,Панченко Олена Олександрівна,Авдіївський міський суд Донецькоїобласті,суддя,7f417143-f9e6-48a8-88f8-152bb4a3f8f2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4661,Середа Анатолій Васильович,Автозаводський районний суд м. Кременчука,суддя,27acf9bc-e9bb-4a11-9424-8ad643c59440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77392,Гусач Олександр Миколайович,Автозаводський районний суд м. Кременчука,Суддя,e6c1e3b9-720d-447f-a48b-899dab424adf,,,,,,,,,,,,,,,,,,,,,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37859,Пальчик Оксана Олександрівна,Автозаводський районний суд м. Кременчука Полтавської області,суддя,a305732b-7357-4bca-bba8-3448dc4057dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90680,Савічев Володимир Олександрович,Автозаводський районний суд м.Кременчук,суддя,a1174663-6444-4eb8-8dfe-373771f22f96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72018,Андрієць Діна Дмитрівна,Автозаводський районний суд м.Кременчука Полтавської області,Суддя,dfa4c21a-a27e-490f-be32-2bf264776feb,,,,,,,,,,,,,,,,,,,,70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15432,Кривич Жанна Олексіївна,Автозаводський районний суд міста Кременчука,Суддя,db1784b2-ad4f-44a8-aa2e-11bffd875ae8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000,,,,,,,,,,,,,,,,
15851,Сировєтнік Тамара Іванівна,Автозаводський районний суд міста Кременчука,суддя,6ff2b132-49eb-4240-a1d0-70d12f3ce32a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
