posada,name,id,category,transport,incomes,assets,land,house,transport_cost
" Депутат Київської міської ради, Київська міська рада",омельченко олександр олександрович,27ed4406-b30a-496b-8e62-c2eaa4239e6b,1,"Fiat Ducato 14, Volvo XС90, Toyota Land Cruiser 200, Tata LPT 613, LDV 400 CONVOY, Audi Q3",2078204,92174486.09122,48109,1060,1115310
" Народний депутат, Голова підкомітету з питань приватизації державного і комунального майна, націоналізації, реприватизації, банкрутства, застави, лізингу, концесії, оренди, розподілу продукції, управління майном, що перебуває у державній та комунальній власності Комітету Верховної Ради України з питань економічної політики, Верховна Рада України",денисенко анатолій петрович,c84b8969-06b2-4a06-a1d0-9148be9b370e,2,"PORSCHE CAYENNE V6, AUDI Q3, MERCEDES-BENZ S 350 4 MATIC, TOYOTA LEXUS",1486790,92129013.355959,3249,1484.53,293049
" ректор, Український інститут розвитку фондового ринку",леонов дмитро анатолійович,d5d6ba34-4dec-450e-8a6c-13428e3dc8ac,0,JEEP RENEGADE,1178553,91052347.885576,8989.7,497.4,812660
" Народний депутат України, Верховна Рада України",чекіта геннадій леонідович,47571a7b-cb3d-4112-b6d1-8fda4935f741,2,ГАЗ 13,1105364,89042807.420681,0,767.2,0
" Президент, Товариство з обмеженою відповідальністю ""Агро-Овен""",заворотній віктор петрович,d8aab9df-8073-43ca-a1cd-e265b6b25dc4,0,"Mersedes-Benz S550, LEXUS LX 570, LEXUS LX 570",232525,86809554.1323,356730,4726.5,2285000
" Депутат, Київська міська рада",сагайдак ілля вадимович,ce4a89c1-b48a-459d-829c-815f94ddf4d1,1,LAND ROVER RANGE ROVER autobiography,6433239,86571043.258,6475,1470.6,495000
" перший заступник міського голови, Виконавчий комітет Полтавської міської ради",шевченко михайло володимирович,38c7562d-cb4d-46ac-9fcc-c6e9d0693956,1,CHEVROLET  AVEO,2011776,85546819.763496,0,115,0
" Народний депутат, Верховна Рада України",новинський вадим владиславович,da4751c5-5375-45ed-865c-0327e4709f03,2,"Mercedes Benz S 560 4MATIC, Mersedes-Benz GL-550, Mersedes-Benz S-500 4MATIC, Mersedes-Benz 500-SL, AUDI Q5, Mersedes-Benz S-600, Mersedes-Benz V 250 d AVG/E, Mersedes-Benz CL-500 4MATIC",311270881,85160922.048363,62386,4785.2,7195739
" народний депутат, Верховна рада України",бандуров володимир володимирович,f1df4aa7-0462-478d-8cd3-92061d82b3bd,2,"Bentley Continental GT, BMW 645СІ, Мерседес Бенц S500L4Matic",26196785,84857836.121,36896,641.9,3625900
" міський голова, Чернігівська міська рада",атрошенко владислав анатолійович,cf30a1c9-c417-426a-af71-844eefbdfc0b,1,"BMW M760LI, TOYOTA LAND CRUISER 200",67993640,83788314.775732,79987,1274,6324397
" Старший слідчий в особливо важливих справах другого слідчого відділу управління спеціальних розслідувань Департаменту спеціальних розслідувань Генеральної прокуратури України , Генеральна прокуратура України",кривобок юрій васильович,a9af63b3-f419-4d45-9bd1-62dbdcce9827,5,"Volkswagen Toureg, ПГМФ 8904, Mercedes Benz  GLE 350 D Matic, Bombardier  RXT",656115,82799404.505023,56698,2613.5,3730930
" фізична особа - підприємець, (депутат Дніпровської міської ради), фізична особа - підприємець",кучугура максим васильович,319c9949-7816-43eb-8278-a380aac86476,1,"ЗІЛ 431610, ЗІЛ 431412, MERCEDES-BENZ 208D, MERCEDES-BENZ 308, ЗІЛ 431412, ЗІЛ 138А, ЗІЛ 130СПГ, ВАЗ 2101, ЗІЛ 431610, BMW 320I, ЗІЛ 130, PORSCHE PANAMERA",5689821,82777218.833,1200,1647.5,2000000
" Народний депутат України, Верховна Рада України",дубневич богдан васильович,fd9af232-d7a2-4fc6-b2a8-e61067c6f823,2,"STEMA, ГАЗ 21, Porshe Panamera, ГАЗ 21, TOYOTA ""Land Cruiser 200"", ГАЗ 21",11534785,82086934.757768,4569275,13744.53,0
" народний депутат України, голова підкомітету з питань діяльності органів прокуратури Комітету з питань законодавчого забезпечення правоохоронної діяльності, Верховна Рада України",мисик володимир юрійович,7b824248-e447-47a4-a6a9-0fb4e721f6b3,2,"ЗИЛ 5301, ВАЗ 21099, ГАЗ 3307, MITSUBISHI OUTLANDER 3.0 AT, ЗИЛ 5301, ЗИЛ 5301, МАЗ 6303, UMS BOAT, SEA-DOO BRP Utopia 205, MERCEDES-BENZ GL 350 CDI 4 MATIC, ГАЗ 3307, BMW X5, Crownline 250 CR, МАЗ 5337, немає_даних",4371366,81479061.255,502600,1192.5,0
" Народний депутат України, Управління справами Апарату Верховної Ради України",гудзенко віталій іванович,76f51f67-97fb-4c77-8e19-081989902ace,2,"ПФ 01 Фермер, Toyota  Land Cruiser 200, Mercedes-Benz S350 CDI 4MATIC",1825194,80460002.445375,72240,2982.11,4206332
" другий секретар, Міністерство закордонних справ України",гіренко тетяна володимирівна,3dca7928-a168-4c2f-a486-67e9642bd61f,3,"BMW X5, Dodge Caliber",8918630,80201223.91447,2740,886.8,0
" заступник Директора-начальник відділу , Міністерство закордонних справ України",гіренко олександр тимофійович,51dfcc18-2ae0-4457-ac66-c72eb503d4f0,3,"Dodge Caliber, BMW X5",8918630,80201223.91447,2740,886.8,0
" народний депутат України, Верховна рада України",пресман олександр семенович,56af589b-bf8b-499a-9955-df3330f76a4e,2,"Bently Continental, Land Rover Range Rover Sport, Porshe Cayenne, Maybach, Chevrolet Express",960259,79257706.68,1982,1483,2500000
" народний депутат України, ВЕРХОВНА РАДА УКРАЇНИ",фельдман олександр борисович,3269aadc-33f1-4df5-ac8e-1c6617c108b4,2,"SMW CHAPPER, LAND ROVER RANGE ROVER",572685202,76780067.285038,67507,2508.1,1665000
" Депутат, Дніпровська міська рада",краснов загід геннадійович,57c26616-4582-48e5-98bc-6e93a35ad69c,1,"MERCEDES-BENZ E250CDI4M, MERCEDES-BENZ S600 Седан-В",20556697,75504017.719076,21000,1532.9,5047530
" народний депутат України, Голова комітету Верховної ради України з питань будівництва, містобудування і ЖКГ, Верховна Рада України",скуратовський сергій іванович,90cb6b66-6ecf-4f50-bf38-3f026d20cbe8,2,"Mercedes-benz S63AMG 4 matic, Mercedes Benz GLE350D4Matic, Toyota Land Cruiser200, гідроцикл BRP RXP X, ПГМФ 8304",4153323,74554612.9,3395,2108.3,4494000
" депутат Рожнятівської районної ради, депутат Рожнятівської районної ради",грабовецький володимир миколайович,ed89f6ac-9443-4f85-88fd-f30c881469cc,1,"тойота highlander, тойота auris, harley-davidson v-rod, мерседес-бенц sl65, лексус is250, ktm exc530, лексус lx470, тойота camry, тойота corolla, тойота 4runner",494377,72991057.282193,147951,3019.6,713000
" Директор КП ""Волиньприродресурс"", Депутат Волинської обласної ради, КП ""Волиньприродресурс""",столяр василь андрійович,33973990-264b-4c31-ab4e-22f12731f951,1,"Прицеп-платформа ПФ2, Toyota Land Cruiser 200",109999,72782765.789496,147988,511.8,0
" депутат Мелітопольської міської ради Запорізької області, днпутат Мелітопольської міської ради Запорізької області",романов роман вікторович,3e9e53fe-288e-401c-b751-e736a524d113,1,"VAN HOOL, LEXUS  1S 300, LEXUS GS 350, BMW 4281, BMW X5, FIAT DOBLO, ЗАЗ 110558, PEUGEOT BIPPER 1399, MERCEDES-BENZ 614D",3044678,71335647.916,54443.5,1541.3,0
" Головний спеціаліст відділу безпеки середовища життєдіяльності управління державного нагляду за дотриманням санітарного законодавства, Головне управління Держпродспоживслужби в Рівненській області",туленіна неля назарівна,354b89a3-3977-4b8f-95a0-444cac7d375a,9,"Chevrolet Lacetti, TOYOTA RAV4, Toyota Land Cruiser",170929,70144183.601,0,1313.6,1678665
" Секретар Дніпропетровської міської ради, 2016 жовтень - 2017 листорад Дніпропетровська міьська рада м.Дніпро ,Дніпропетровська область",мішалов вячеслав дмитрович,7f3540cf-0590-4578-80c7-6cbbf7696c86,1,"Toyota Land Cruiser 200, MITSUBISHI Lancer, BMW 740, Porsсhe 911 Turbo, BMW R120GS, Porsсhe Cayenne Turbo, Sunscape Malibu, Eagle Бриг""ЛТД"" 645 L",253082,69746709.728976,0,1263.6,8810000
" Депутат, заступник директора, Закарпатська обласна рада, Товариство з обмеженою відповідальністю ""Пі Ві""",кеменяш олександр михайлович,ed7bd84b-007a-4fd7-9dc3-22c1e4b675dd,1,0,3800001,68994208.69,1964,99.3,0
" Генеральний директор - Головний конструктор РДТП, ""ДП ""НВО"" Павлоградський хімічний завод """,шиман леонід миколайович,8448e4f9-24c2-4729-a3e5-508098e55c16,0,0,4078968,68983260.528733,7203,722.7,0
" Заступник міського голови (депутат Одеської міської Ради), Чорноморська міська рада",крук юрій юрійович,1d65ee65-e4d4-4201-921d-1ee449563af8,1,"Mercedes-Benz GL 350 4 Matic, Mercedes-Benz S 350 d 4 MATIK, YAMAHA R1",4090881,68952564.251928,1020,1291.2,1447300
" Депутат Київської міської ради, Київська міська рада",іванченко вадим анатолійович,d854c791-a9bc-4fab-928a-a959ca9752a7,1,"VOLKSWAGEN AMAROK, HONDA GL18HPNA, VOLKSWAGEN AMAROK",291237,67561617.391263,0,222.08,604000
" Народний депутат України, Верховна Рада України",давиденко валерій миколайович,9932ffe2-02f3-4247-8ee2-6367fbaa1e01,2,"TOYOTA LAND CRUISER 200, INFINITI FX50",3251884,67536438.317456,54603,779.35,3169598
" радник з економічних питань, депутат Київської міської ради, ТОВ ""Елеганс СК""",старовойт володимир миколайович,3d29b5b8-0872-49ff-b6b8-b232d088a623,1,"Sealine 34, ГАЗ 2705, Lexus LX 470, Lend Rover Reng Rover",4210000,67453779.555,11531.1,3809.2,70000
" депутат Дніпровської міської Ради, Дніпровська міська Рада",погребов дмитро вадимович,893d73e8-7db9-47d1-8d7d-64e096fc6f88,1,"JAGUAR XK8, AUDI A8, PORSCHE 911, Sealine Sealine SC35",4660213,66931269.773355,5197,2060.5,4245485
" депутат Запорізької обласної ради , депутат Запорізької обласної ради",романов віктор іванович,32f2f9a9-a777-4065-ab21-64f2970c6032,1,"LEXUS GS 350, Fiat Doblo, КАМАЗ 5511, Mercedes Benz 508",5522431,66076346.53,2580,1445.4,83114
" депутат, Баришівська районна рада",горєв сергій станіславович,5f8668ba-8cb7-4b18-aed6-b332baf79f35,1,"Mercedes-Benz S 500, Mercedes-Benz Sprint 209, CHRYSLER PT CRUISER",13408589,65806559.346448,227523,448,0
" Консультант з ефективності підприємства, ТОВ ""Комбінат Хлібопродуктів""ТАЛНЕ"" з іноземними інвестиціями""",коротков олександр григорович,c7128ceb-82e8-4615-8544-07b95c75923f,0,"BMW 650i, BMW 330i",638569,64574072.07777,117003,997.9,295167
" народний депутат України, Верховна Рада України",ківалов сергій васильович,589aa3ff-96dd-479d-8e96-29ed3a912907,2,"Mercedes-benz S500 4Matic, Mercedes-benz S500",2503574,64341638.955806,1872,1078.7,0
" народний депутат, Верховна Рада України",кононенко ігор віталійович,dcf3ba41-ac3a-4e60-9f6c-1c12bfbfa83f,2,"Subaru  WRX STI, BMW  550, AUDI A8, MERCEDES-BENZ ML 63, BMW X1",7831439,62890421.400506,6900,2459.23,0
" Голова Комітету, Громадська організація ""Національне благо України""",коваленко олександр миколайович,83288f05-e600-4c39-bb81-d5d6556dfbc2,0,"Volvo  XC70, PORSCHE CAYMAN, MERCEDES-BENZ S 500 4 MATIC, MERCEDES-BENZ S 500",37436,61785230.471501,20001,2627.9,472413
" народний депутат України, Верховна Рада України",москаленко ярослав миколайович,7507333c-53ba-441f-8fc0-b783a095fc2e,2,"STEMA MT 0751 QUAD 2M, Bentley R Continental, Neoplan N313-SHD, ISUZU NQR71R, Porshe Cayenne S, KHOTT 91H, SCHMITZ SKO24, SCHMITZ SKO 24",14584274,61641296.407863,10285,1860.7,0
" Президент, Всеукраїнська громадська організація ""Асоціація споживчої безпеки України""",суханов сергій анатолійович,727789f8-eaff-4947-be1b-82c2f165bc7d,0,ВАЗ 2103,75876,61134446,0,0,5000
